"State","Detached","Branch","Path"
"clean","False","codex/commercial-todo-wave","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/commercial-todo-wave"
"clean","False","codex/commercial-track-closeout","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/commercial-track-closeout"
"clean","False","codex/contact-email-live-fix","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/contact-email-live-fix"
"clean","False","codex/contact-schema-fix","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/contact-schema-fix"
"clean","False","codex/contact-schema-release","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/contact-schema-release"
"clean","False","codex/contact-success-label-live","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/contact-success-label-live"
"clean","False","codex/copy-alignment-suite-truth","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/copy-alignment-suite-truth"
"clean","False","codex/ct2-landing-temp","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/ct2-landing-temp"
"clean","False","codex/ct3-landing-temp","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/ct3-landing-temp"
"clean","False","codex/ct4-landing-temp","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/ct4-landing-temp"
"clean","False","codex/cta-demo-salesflow-sharpening","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/cta-demo-salesflow-sharpening"
"dirty","False","codex/customer-expansion-suggester","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/customer-expansion-suggester"
"clean","False","codex/customer-launch-control","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/customer-launch-control"
"clean","False","codex/customer-operation-validation","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/customer-operation-validation"
"clean","False","codex/customer-ops-hardening-pass","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/customer-ops-hardening-pass"
"dirty","False","codex/customer-ops-observation-round","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/customer-ops-observation-round"
"clean","False","codex/dashboard-admin-alignment","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/dashboard-admin-alignment"
"clean","False","codex/dashboard-admin-setup-page","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/dashboard-admin-setup-page"
"clean","False","codex/dashboard-guided-execution-main-landing-final","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/dashboard-guided-execution-main-landing-final"
"clean","False","codex/dashboard-guided-execution-main-promotion","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/dashboard-guided-execution-main-promotion"
"clean","False","codex/dashboard-guided-execution-main-promotion-review","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/dashboard-guided-execution-main-promotion-review"
"clean","False","codex/dashboard-loep-branding","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/dashboard-loep-branding"
"clean","True","","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/dashboard-loep-branding-baseline"
"clean","False","codex/dashboard-loep-branding-release","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/dashboard-loep-branding-release"
"clean","False","codex/dashboard-module-visual-mapping","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/dashboard-module-visual-mapping"
"clean","False","codex/dashboard-overview-and-navigation-correction-pass","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/dashboard-overview-and-navigation-correction-pass"
"clean","False","codex/dashboard-overview-and-navigation-review","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/dashboard-overview-and-navigation-review"
"clean","False","action-center-decision-history-port","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/dashboard-overview-reconstruct-step-1"
"clean","False","codex/dashboard-preview-adoption","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/dashboard-preview-adoption"
"clean","False","codex/dashboard-product-pure-analytics","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/dashboard-product-pure-analytics"
"clean","False","codex/dashboard-redesign-management-flow","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/dashboard-redesign-management-flow"
"clean","False","feat/dashboard-redesign-v2","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/dashboard-redesign-v2"
"clean","False","codex/dashboard-shell-and-presentation-system","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/dashboard-shell-and-presentation-system"
"clean","False","codex/dashboard-state-aware-composition-pass","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/dashboard-state-aware-composition-pass"
"clean","False","codex/dashboard-suite-landing-decision","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/dashboard-suite-landing-decision"
"clean","False","codex/dashboard-ui-review","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/dashboard-ui-review"
"clean","False","codex/deeper-telemetry-and-health-evidence","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/deeper-telemetry-and-health-evidence"
"clean","False","codex/delivery-maturity","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/delivery-maturity"
"clean","False","codex/delivery-maturity-implementation","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/delivery-maturity-implementation"
"dirty","False","feat/routebeheer-admin-bridge","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/deploy-debug-main"
"clean","False","codex/evidence-proof-readiness","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/evidence-proof-readiness"
"clean","False","codex/execution-dashboard-integration","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/execution-dashboard-integration"
"clean","False","codex/execution-dashboard-integration-review","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/execution-dashboard-integration-review"
"clean","False","codex/product-detail-canvas-match","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/exitscan-single-background"
"clean","False","codex/exitscan-to-5","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/exitscan-to-5"
"clean","False","codex/favicon-logo-mark-pass","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/favicon-logo-mark-pass"
"clean","False","codex/favicon-monogram-pass","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/favicon-monogram-pass"
"clean","False","codex/favicon-svg-pass","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/favicon-svg-pass"
"clean","False","feat/editorial-insights-ui","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/feat-editorial-insights-ui"
"clean","False","codex/first-next-step-guided-expansion","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/first-next-step-guided-expansion"
"dirty","False","codex/hero-motion-preview","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/hero-motion-preview"
"dirty","False","feat/home-hero-preview-premium","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/home-hero-preview-premium"
"clean","True","","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/homepage-action-center-optional-label"
"clean","False","codex/homepage-hero-actioncenter-preview","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/homepage-hero-actioncenter-preview"
"clean","False","codex/homepage-insight-action-demo","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/homepage-insight-action-demo"
"clean","False","codex/homepage-navigation-repositioning","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/homepage-navigation-repositioning"
"dirty","False","codex/homepage-offwhite-onboarding","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/homepage-offwhite-onboarding"
"clean","True","","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/homepage-onboarding-pass"
"dirty","False","codex/homepage-optional-action-center-preview","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/homepage-optional-action-center-preview"
"dirty","True","","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/homepage-optional-action-center-release"
"clean","True","","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/homepage-remove-insights-live"
"clean","True","","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/homepage-review-card-height"
"dirty","False","codex/homepage-visual-refinement-pass","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/homepage-visual-refinement-pass"
"clean","False","hotfix/dashboard-routebeheer-entry","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/hotfix-dashboard-routebeheer-entry"
